date,ticker,name,price_per_ounce,market_cap
2016-12-01,PA=F,Palladium,682.6500244140625,102397503662.10938
2017-02-01,PA=F,Palladium,770.7000122070312,115605001831.05469
2017-03-01,PA=F,Palladium,798.1500244140625,119722503662.10938
2017-04-01,PA=F,Palladium,826.5499877929688,123982498168.94531
2017-05-01,PA=F,Palladium,819.8499755859375,122977496337.89062
2017-06-01,PA=F,Palladium,849.0,127350000000.0
2017-07-01,PA=F,Palladium,890.5,133575000000.0
2017-08-01,PA=F,Palladium,931.9500122070312,139792501831.0547
2017-09-01,PA=F,Palladium,937.9500122070312,140692501831.0547
2017-11-01,PA=F,Palladium,1006.5999755859376,150989996337.89066
2017-12-01,PA=F,Palladium,1073.75,161062500000.0
2018-01-01,PA=F,Palladium,1027.5,154125000000.0
2018-02-01,PA=F,Palladium,1047.199951171875,157079992675.78125
2018-03-01,PA=F,Palladium,944.7999877929688,141719998168.9453
2018-05-01,PA=F,Palladium,988.9000244140624,148335003662.10934
2018-06-01,PA=F,Palladium,958.2999877929688,143744998168.9453
2018-08-01,PA=F,Palladium,980.2999877929688,147044998168.9453
2018-09-01,PA=F,Palladium,1090.800048828125,163620007324.21875
2018-10-01,PA=F,Palladium,1085.0999755859375,162764996337.89062
2018-11-01,PA=F,Palladium,1168.5999755859375,175289996337.89062
2018-12-01,PA=F,Palladium,1253.9000244140625,188085003662.10938
2019-01-01,PA=F,Palladium,1338.300048828125,200745007324.21875
2019-02-01,PA=F,Palladium,1532.0,229800000000.0
2019-03-01,PA=F,Palladium,1345.0,201750000000.0
2019-04-01,PA=F,Palladium,1387.4000244140625,208110003662.10938
2019-05-01,PA=F,Palladium,1333.9000244140625,200085003662.10938
2019-06-01,PA=F,Palladium,1532.4000244140625,229860003662.10938
2019-07-01,PA=F,Palladium,1519.199951171875,227879992675.78125
2019-08-01,PA=F,Palladium,1538.5999755859375,230789996337.89062
2019-10-01,PA=F,Palladium,1758.0999755859375,263714996337.89062
2019-11-01,PA=F,Palladium,1815.5999755859373,272339996337.8906
2020-01-01,PA=F,Palladium,2246.60009765625,336990014648.4375
2020-02-01,PA=F,Palladium,2508.800048828125,376320007324.21875
2020-04-01,PA=F,Palladium,1952.0999755859373,292814996337.89056
2020-05-01,PA=F,Palladium,1934.5,290175000000.0
2020-06-01,PA=F,Palladium,1945.4000244140625,291810003662.1094
2020-07-01,PA=F,Palladium,2135.300048828125,320295007324.21875
2020-08-01,PA=F,Palladium,2245.39990234375,336809985351.5625
2020-09-01,PA=F,Palladium,2321.300048828125,348195007324.21875
2020-10-01,PA=F,Palladium,2210.300048828125,331545007324.21875
2020-12-01,PA=F,Palladium,2448.5,367275000000.0
2021-01-01,PA=F,Palladium,2207.10009765625,331065014648.4375
2021-02-01,PA=F,Palladium,2310.10009765625,346515014648.4375
2021-03-01,PA=F,Palladium,2617.5,392625000000.0
2021-04-01,PA=F,Palladium,2957.699951171875,443654992675.78125
2021-05-01,PA=F,Palladium,2824.199951171875,423629992675.78125
2021-06-01,PA=F,Palladium,2777.39990234375,416609985351.5625
2021-07-01,PA=F,Palladium,2655.800048828125,398370007324.21875
2021-09-01,PA=F,Palladium,1902.5999755859373,285389996337.89056
2021-10-01,PA=F,Palladium,1986.0999755859373,297914996337.89056
2021-11-01,PA=F,Palladium,1703.0999755859375,255464996337.89062
2021-12-01,PA=F,Palladium,1908.0999755859373,286214996337.89056
2022-01-01,PA=F,Palladium,2349.199951171875,352379992675.78125
2022-02-01,PA=F,Palladium,2500.5,375075000000.0
2022-03-01,PA=F,Palladium,2255.5,338325000000.0
2022-04-01,PA=F,Palladium,2302.800048828125,345420007324.21875
2022-06-01,PA=F,Palladium,1908.699951171875,286304992675.78125
2022-07-01,PA=F,Palladium,2128.89990234375,319334985351.5625
2022-08-01,PA=F,Palladium,2066.60009765625,309990014648.4375
2022-09-01,PA=F,Palladium,2173.199951171875,325979992675.78125
2022-10-01,PA=F,Palladium,1829.0999755859373,274364996337.8906
2022-11-01,PA=F,Palladium,1845.0,276750000000.0
2022-12-01,PA=F,Palladium,1789.300048828125,268395007324.21875
2023-02-01,PA=F,Palladium,1404.4000244140625,210660003662.10938
2023-03-01,PA=F,Palladium,1466.0,219900000000.0
2023-04-01,PA=F,Palladium,1517.9000244140625,227685003662.10938
2023-05-01,PA=F,Palladium,1340.9000244140625,201135003662.10938
2023-06-01,PA=F,Palladium,1213.4000244140625,182010003662.10938
2023-07-01,PA=F,Palladium,1264.699951171875,189704992675.78125
2023-08-01,PA=F,Palladium,1207.800048828125,181170007324.21875
2023-09-01,PA=F,Palladium,1255.199951171875,188279992675.78125
2023-11-01,PA=F,Palladium,1009.0999755859376,151364996337.89066
2023-12-01,PA=F,Palladium,1104.0,165600000000.0
2024-01-01,PA=F,Palladium,992.9000244140624,148935003662.10934
2024-02-01,PA=F,Palladium,933.5,140025000000.0
2024-03-01,PA=F,Palladium,1009.5,151425000000.0
2024-04-01,PA=F,Palladium,951.9000244140624,142785003662.10934
2024-05-01,PA=F,Palladium,899.2000122070312,134880001831.05469
2024-06-01,PA=F,Palladium,977.9000244140624,146685003662.10934
2024-07-01,PA=F,Palladium,922.5999755859376,138389996337.89066
2024-08-01,PA=F,Palladium,961.0999755859376,144164996337.89066
2024-10-01,PA=F,Palladium,1106.5,165975000000.0
2024-11-01,PA=F,Palladium,990.2000122070312,148530001831.0547
2025-01-01,PA=F,Palladium,1066.9000244140625,160035003662.10938
2025-02-01,PA=F,Palladium,899.7000122070312,134955001831.05469
2025-03-01,PA=F,Palladium,991.2000122070312,148680001831.0547
2025-04-01,PA=F,Palladium,930.2000122070312,139530001831.0547
2025-05-01,PA=F,Palladium,961.2999877929688,144194998168.9453
2025-07-01,PA=F,Palladium,1196.0999755859375,179414996337.89062
2025-08-01,PA=F,Palladium,1105.199951171875,165779992675.78125
2025-09-01,PA=F,Palladium,1263.5,189525000000.0
2025-10-01,PA=F,Palladium,1444.699951171875,216704992675.78125
2025-11-01,PA=F,Palladium,1468.5999755859375,220289996337.89062
2025-12-01,PA=F,Palladium,1629.199951171875,244379992675.78125
2026-01-01,PA=F,Palladium,1688.300048828125,253245007324.21875
