date,ticker,price_local_currency,currency,conversion_rate,price_usd,shares,market_cap_usd
2018-02-01,JPM,92.86080932617188,USD,1.0,92.86080932617188,2697032375,250448609121.38748
2018-03-01,JPM,88.41472625732422,USD,1.0,88.41472625732422,2697032375,238457379142.766
2018-04-01,JPM,87.45797729492188,USD,1.0,87.45797729492188,2697032375,235876996216.41922
2018-05-01,JPM,86.4712142944336,USD,1.0,86.4712142944336,2697032375,233215664457.65018
2018-06-01,JPM,84.20051574707031,USD,1.0,84.20051574707031,2697032375,227091516961.54596
2018-07-01,JPM,92.88726043701172,USD,1.0,92.88726043701172,2697032375,250519948623.67725
2018-08-01,JPM,93.0914077758789,USD,1.0,93.0914077758789,2697032375,251070540605.87216
2018-09-01,JPM,91.6777572631836,USD,1.0,91.6777572631836,2697032375,247257879406.19754
2018-10-01,JPM,88.57415771484375,USD,1.0,88.57415771484375,2697032375,238887370945.2896
2018-11-01,JPM,90.96981811523438,USD,1.0,90.96981811523438,2697032375,245348544604.6486
2018-12-01,JPM,79.86754608154297,USD,1.0,79.86754608154297,2697032375,215405357493.72577
2019-01-01,JPM,84.67825317382812,USD,1.0,84.67825317382812,2697032375,228379990268.26096
2019-02-01,JPM,86.0752182006836,USD,1.0,86.0752182006836,2697032375,232147650172.4329
2019-03-01,JPM,83.49364471435547,USD,1.0,83.49364471435547,2697032375,225185062901.36432
2019-04-01,JPM,95.71704864501952,USD,1.0,95.71704864501952,2697032375,258151979035.0675
2019-05-01,JPM,88.0636215209961,USD,1.0,88.0636215209961,2697032375,237510438301.8732
2019-06-01,JPM,92.9172821044922,USD,1.0,92.9172821044922,2697032375,250600918032.8236
2019-07-01,JPM,96.40789794921876,USD,1.0,96.40789794921876,2697032375,260015221974.7391
2019-08-01,JPM,91.95135498046876,USD,1.0,91.95135498046876,2697032375,247995781307.44174
2019-09-01,JPM,98.50495147705078,USD,1.0,98.50495147705078,2697032375,265671043231.41003
2019-10-01,JPM,104.55636596679688,USD,1.0,104.55636596679688,2697032375,281991904024.7993
2019-11-01,JPM,111.1647720336914,USD,1.0,111.1647720336914,2697032375,299814989134.3603
2019-12-01,JPM,117.61058044433594,USD,1.0,117.61058044433594,2697032375,317199543100.9159
2020-01-01,JPM,111.6709976196289,USD,1.0,111.6709976196289,2697032375,301180295928.6871
2020-02-01,JPM,98.58990478515624,USD,1.0,98.58990478515624,2697032375,265900165053.7338
2020-03-01,JPM,76.4451675415039,USD,1.0,76.4451675415039,2697032375,206175091771.7352
2020-04-01,JPM,81.31055450439453,USD,1.0,81.31055450439453,2697032375,219297197927.55414
2020-05-01,JPM,83.48529052734375,USD,1.0,83.48529052734375,2697032375,225162531388.52692
2020-06-01,JPM,80.69700622558594,USD,1.0,80.69700622558594,2697032375,217642438355.9818
2020-07-01,JPM,82.91047668457031,USD,1.0,82.91047668457031,2697032375,223612239844.9688
2020-08-01,JPM,86.79373168945312,USD,1.0,86.79373168945312,2697032375,234085504313.51852
2020-09-01,JPM,83.39787292480469,USD,1.0,83.39787292480469,2697032375,224926763284.33417
2020-10-01,JPM,84.93121337890625,USD,1.0,84.93121337890625,2697032375,229062232130.9433
2020-11-01,JPM,103.06599426269533,USD,1.0,103.06599426269533,2697032375,277972323288.0535
2020-12-01,JPM,111.10108184814452,USD,1.0,111.10108184814452,2697032375,299643214641.9706
2021-01-01,JPM,112.50006103515624,USD,1.0,112.50006103515624,2697032375,303416306801.29236
2021-02-01,JPM,129.601806640625,USD,1.0,129.601806640625,2697032375,349540268368.2556
2021-03-01,JPM,134.05775451660156,USD,1.0,134.05775451660156,2697032375,361558104051.0769
2021-04-01,JPM,135.44918823242188,USD,1.0,135.44918823242188,2697032375,365310845830.3108
2021-05-01,JPM,145.48599243164062,USD,1.0,145.48599243164062,2697032375,392380431697.1398
2021-06-01,JPM,137.77935791015625,USD,1.0,137.77935791015625,2697032375,371595388890.40375
2021-07-01,JPM,134.44873046875,USD,1.0,134.44873046875,2697032375,362612578851.8677
2021-08-01,JPM,142.50230407714844,USD,1.0,142.50230407714844,2697032375,384333327608.1638
2021-09-01,JPM,145.8343505859375,USD,1.0,145.8343505859375,2697032375,393319964917.37366
2021-10-01,JPM,151.3580322265625,USD,1.0,151.3580322265625,2697032375,408217513131.3324
2021-11-01,JPM,142.35716247558594,USD,1.0,142.35716247558594,2697032375,383941876009.7904
2021-12-01,JPM,141.92694091796875,USD,1.0,141.92694091796875,2697032375,382781554540.47394
2022-01-01,JPM,133.18812561035156,USD,1.0,133.18812561035156,2697032375,359212686736.6848
2022-02-01,JPM,127.85523223876952,USD,1.0,127.85523223876952,2697032375,344829700661.1051
2022-03-01,JPM,122.91415405273438,USD,1.0,122.91415405273438,2697032375,331503452825.96204
2022-04-01,JPM,107.62200164794922,USD,1.0,107.62200164794922,2697032375,290260022706.8224
2022-05-01,JPM,120.1100845336914,USD,1.0,120.1100845336914,2697032375,323940786551.3525
2022-06-01,JPM,102.28841400146484,USD,1.0,102.28841400146484,2697032375,275875164149.354
2022-07-01,JPM,104.7863540649414,USD,1.0,104.7863540649414,2697032375,282612189371.3598
2022-08-01,JPM,104.21956634521484,USD,1.0,104.21956634521484,2697032375,281083544541.5049
2022-09-01,JPM,95.76140594482422,USD,1.0,95.76140594482422,2697032375,258271612108.70837
2022-10-01,JPM,115.35354614257812,USD,1.0,115.35354614257812,2697032375,311112248517.5896
2022-11-01,JPM,127.75791931152344,USD,1.0,127.75791931152344,2697032375,344567244545.8164
2022-12-01,JPM,123.98563385009766,USD,1.0,123.98563385009766,2697032375,334393268528.60925
2023-01-01,JPM,129.4036407470703,USD,1.0,129.4036407470703,2697032375,349005808537.71783
2023-02-01,JPM,133.51698303222656,USD,1.0,133.51698303222656,2697032375,360099625850.2407
2023-03-01,JPM,121.37144470214844,USD,1.0,121.37144470214844,2697032375,327342715762.21655
2023-04-01,JPM,128.7574920654297,USD,1.0,128.7574920654297,2697032375,347263124624.2695
2023-05-01,JPM,127.3930435180664,USD,1.0,127.3930435180664,2697032375,343583162718.009
2023-06-01,JPM,136.5267333984375,USD,1.0,136.5267333984375,2697032375,368217020028.5797
2023-07-01,JPM,148.2794647216797,USD,1.0,148.2794647216797,2697032375,399914516902.04047
2023-08-01,JPM,138.3055419921875,USD,1.0,138.3055419921875,2697032375,373014524394.8517
2023-09-01,JPM,137.0673828125,USD,1.0,137.0673828125,2697032375,369675169001.83105
2023-10-01,JPM,131.43421936035156,USD,1.0,131.43421936035156,2697032375,354482344797.72
